m/z,Formula,ID,IsotopeLabel,Ion form,Compound
135.0960227,C5H12N2O2,38,C13-label-4,[M-H]-,Ornithine
136.0993776,C5H12N2O2,38,C13-label-5,[M-H]-,Ornithine
133.0328761,C5H10O2S,39,C12 PARENT,[M-H]-,Ethyl-mercaptopropionate
134.0362309,C5H10O2S,39,C13-label-1,[M-H]-,Ethyl-mercaptopropionate
135.0395858,C5H10O2S,39,C13-label-2,[M-H]-,Ethyl-mercaptopropionate
136.0429406,C5H10O2S,39,C13-label-3,[M-H]-,Ethyl-mercaptopropionate
137.0462954,C5H10O2S,39,C13-label-4,[M-H]-,Ethyl-mercaptopropionate
138.0496503,C5H10O2S,39,C13-label-5,[M-H]-,Ethyl-mercaptopropionate
134.0472184,C5H5N5,40,C12 PARENT,[M-H]-,Adenine
135.0505732,C5H5N5,40,C13-label-1,[M-H]-,Adenine
136.0539281,C5H5N5,40,C13-label-2,[M-H]-,Adenine
137.0572829,C5H5N5,40,C13-label-3,[M-H]-,Adenine
138.0606377,C5H5N5,40,C13-label-4,[M-H]-,Adenine
139.0639926,C5H5N5,40,C13-label-5,[M-H]-,Adenine
145.0142534,C5H6O5,41,C12 PARENT,[M-H]-,Oxoglutaric acid_isomer
146.0176082,C5H6O5,41,C13-label-1,[M-H]-,Oxoglutaric acid_isomer
147.0209631,C5H6O5,41,C13-label-2,[M-H]-,Oxoglutaric acid_isomer
148.0243179,C5H6O5,41,C13-label-3,[M-H]-,Oxoglutaric acid_isomer
149.0276727,C5H6O5,41,C13-label-4,[M-H]-,Oxoglutaric acid_isomer
150.0310276,C5H6O5,41,C13-label-5,[M-H]-,Oxoglutaric acid_isomer
145.0618694,C5H10N2O3,42,C12 PARENT,[M-H]-,Glutamine
146.0652242,C5H10N2O3,42,C13-label-1,[M-H]-,Glutamine
147.0685791,C5H10N2O3,42,C13-label-2,[M-H]-,Glutamine
148.0719339,C5H10N2O3,42,C13-label-3,[M-H]-,Glutamine
149.0752887,C5H10N2O3,42,C13-label-4,[M-H]-,Glutamine
150.0786436,C5H10N2O3,42,C13-label-5,[M-H]-,Glutamine
146.0458864,C5H9NO4,43,C12 PARENT,[M-H]-,Glutamate
147.0492412,C5H9NO4,43,C13-label-1,[M-H]-,Glutamate
148.0525961,C5H9NO4,43,C13-label-2,[M-H]-,Glutamate
149.0559509,C5H9NO4,43,C13-label-3,[M-H]-,Glutamate
150.0593057,C5H9NO4,43,C13-label-4,[M-H]-,Glutamate
151.0626606,C5H9NO4,43,C13-label-5,[M-H]-,Glutamate
147.0299034,C5H8O5,44,C12 PARENT,[M-H]-,Hydroxyglutarate_isomer
148.0332582,C5H8O5,44,C13-label-1,[M-H]-,Hydroxyglutarate_isomer
149.0366131,C5H8O5,44,C13-label-2,[M-H]-,Hydroxyglutarate_isomer
150.0399679,C5H8O5,44,C13-label-3,[M-H]-,Hydroxyglutarate_isomer
151.0433227,C5H8O5,44,C13-label-4,[M-H]-,Hydroxyglutarate_isomer
152.0466776,C5H8O5,44,C13-label-5,[M-H]-,Hydroxyglutarate_isomer
151.0261514,C5H4N4O2,45,C12 PARENT,[M-H]-,Xanthine_isomer
152.0295062,C5H4N4O2,45,C13-label-1,[M-H]-,Xanthine_isomer
153.0328611,C5H4N4O2,45,C13-label-2,[M-H]-,Xanthine_isomer
154.0362159,C5H4N4O2,45,C13-label-3,[M-H]-,Xanthine_isomer
155.0395707,C5H4N4O2,45,C13-label-4,[M-H]-,Xanthine_isomer
156.0429256,C5H4N4O2,45,C13-label-5,[M-H]-,Xanthine_isomer
151.0612034,C5H12O5,46,C12 PARENT,[M-H]-,Ribitol
152.0645582,C5H12O5,46,C13-label-1,[M-H]-,Ribitol
153.0679131,C5H12O5,46,C13-label-2,[M-H]-,Ribitol
154.0712679,C5H12O5,46,C13-label-3,[M-H]-,Ribitol
155.0746227,C5H12O5,46,C13-label-4,[M-H]-,Ribitol
156.0779776,C5H12O5,46,C13-label-5,[M-H]-,Ribitol
155.0098354,C5H4N2O4,47,C12 PARENT,[M-H]-,Orotate
156.0131902,C5H4N2O4,47,C13-label-1,[M-H]-,Orotate
157.0165451,C5H4N2O4,47,C13-label-2,[M-H]-,Orotate
158.0198999,C5H4N2O4,47,C13-label-3,[M-H]-,Orotate
159.0232547,C5H4N2O4,47,C13-label-4,[M-H]-,Orotate
